ticker,entry,exit,shares,opened,closed,reason,pnl,ret
ODFL,81.089996,89.305,6,2020-06-15,2020-09-21,thesis,47.290024000000045,0.10130724386766543
RNSDF,28.01,26.49,18,2020-07-22,2020-09-21,thesis,-29.360000000000056,-0.054266333452338555
CAT,134.97,145.33,3,2020-08-05,2020-09-21,trail,29.08000000000004,0.0767577980291918
GLD,183.33,179.52,2,2020-08-13,2020-09-21,thesis,-7.6200000000000045,-0.020782196039928036
TXT,34.15,35.6,14,2020-06-12,2020-09-22,thesis,18.30000000000004,0.04245973645680823
WWD,76.67,78.22,6,2020-06-12,2020-09-22,thesis,7.299999999999983,0.020216512325551106
URA,12.01,11.49,47,2020-09-14,2020-09-22,thesis,-24.43999999999998,-0.04329725228975845
MCD,194.28,214.97,2,2020-07-31,2020-09-23,trail,39.379999999999995,0.10649577928762599
GLW,33.07,30.59,17,2020-09-09,2020-09-23,thesis,-44.16000000000001,-0.07499244027819774
UNG,50.36,45.16,11,2020-09-23,2020-09-29,thesis,-57.20000000000003,-0.10325655281969826
MSFT,207.82001,207.25999,2,2020-09-25,2020-09-29,thesis,-3.1200400000000172,-0.0026947356994161398
TECL,30.15,29.124,19,2020-09-28,2020-10-02,thesis,-19.493999999999996,-0.03402985074626863
NKE,97.84,127.66,5,2020-06-15,2020-10-14,timeout,147.09999999999997,0.30478331970564176
NAIL,48.7,56.33,11,2020-09-11,2020-10-19,trail,83.92999999999995,0.15667351129363438
PODD,212.44,228.41,2,2020-09-09,2020-10-28,trail,29.939999999999998,0.0751741668235737
FOXA,27.77,25.57,20,2020-09-29,2020-10-29,thesis,-45.999999999999986,-0.07922218221101907
GPC,97.4,90.31,5,2020-10-05,2020-10-29,thesis,-37.45000000000002,-0.07279260780287478
NAIL,57.64,41.61,10,2020-10-20,2020-10-29,thesis,-160.3,-0.2781054823039556
MCD,216.12,213.0,2,2020-09-24,2020-10-30,thesis,-8.240000000000009,-0.014436424208772891
EPAM,318.92001,313.70001,1,2020-09-09,2020-11-02,thesis,-7.21999999999997,-0.01636774061307711
HD,279.95999,270.73999,2,2020-09-17,2020-11-02,thesis,-20.440000000000055,-0.032933277358668356
BRO,44.87,44.5,12,2020-09-28,2020-11-02,thesis,-6.439999999999969,-0.008246044127479313
AMZN,158.7025,152.4205,3,2020-09-28,2020-11-03,thesis,-20.845999999999947,-0.03958349742442613
GPC,98.15,94.81,5,2020-11-03,2020-11-04,thesis,-18.700000000000017,-0.034029546612328154
PG,138.14999,137.99001,4,2020-09-09,2020-11-09,thesis,-2.639919999999961,-0.0011580167323934631
SJM,115.52,113.26,4,2020-09-30,2020-11-09,thesis,-11.039999999999964,-0.019563711911357307
BYDDY,3.14833,7.565,166,2020-07-28,2020-11-10,trail,731.1672199999999,1.4028611994295388
SOXL,19.74,20.56333,28,2020-11-04,2020-11-10,trail,23.05324000000006,0.04170871327254311
DPST,125.5,166.89999,4,2020-10-29,2020-11-12,trail,165.59996,0.3298803984063745
GPC,99.82,95.93,6,2020-11-10,2020-11-12,thesis,-25.339999999999918,-0.038970146263273775
PJT,55.0,66.2968,9,2020-07-28,2020-11-18,trail,99.67120000000004,0.20539636363636382
WEC,100.42,95.55,5,2020-10-29,2020-11-19,thesis,-26.350000000000023,-0.04849631547500499
PAYX,77.6,91.34,7,2020-09-22,2020-12-10,trail,94.18000000000006,0.17706185567010313
GLW,32.029999,35.64,18,2020-09-28,2020-12-11,trail,62.98001800000007,0.11270687207951524
TSM,78.34,104.83,6,2020-08-21,2020-12-21,timeout,156.93999999999997,0.3381414347715088
EWY,64.52,79.19,8,2020-08-25,2020-12-22,trail,117.36000000000001,0.227371357718537
CB,132.75,150.17,4,2020-10-29,2020-12-22,trail,67.67999999999995,0.1312241054613934
GLW,37.02,35.64,16,2020-12-15,2020-12-29,thesis,-24.08000000000004,-0.0372771474878445
ETN,102.56,126.88,5,2020-09-09,2021-01-08,timeout,119.59999999999997,0.23712948517940702
SBUX,84.3,102.82,6,2020-09-25,2021-01-12,trail,109.11999999999998,0.21969157769869518
LVS,56.62,55.68,10,2020-12-01,2021-01-14,thesis,-11.399999999999977,-0.016601907453196674
GPC,99.029999,99.55,6,2020-11-13,2021-01-19,trail,1.120005999999961,0.005250944211359521
URA,11.85,15.47,52,2020-11-24,2021-01-19,trail,188.24000000000007,0.30548523206751055
VRSK,198.23,191.37,3,2020-11-27,2021-01-19,thesis,-22.579999999999956,-0.034606265449225626
USB,38.95,45.58,14,2020-10-30,2021-01-20,trail,90.81999999999994,0.17021822849807422
